,FSA,bedrooms,post_published_date,average_price
207,M4L,2.0,2020-10-21,2745.0
208,M4L,1.0,2020-10-22,1950.0
209,M4L,1.0,2020-10-23,1700.0
210,M4L,1.0,2020-10-24,1100.0
211,M4L,1.0,2020-10-26,1775.0
212,M4L,2.0,2020-10-26,2500.0
213,M4M,1.0,2020-09-25,3000.0
214,M4M,2.0,2020-09-28,3000.0
215,M4M,1.0,2020-10-02,1000.0
216,M4M,2.0,2020-10-07,1950.0
217,M4M,1.0,2020-10-08,1795.0
218,M4M,2.0,2020-10-14,2375.0
219,M4M,2.0,2020-10-18,2350.0
220,M4M,1.0,2020-10-20,1863.0
221,M4M,2.0,2020-10-20,2423.5
222,M4M,1.0,2020-10-21,1650.0
223,M4M,2.0,2020-10-21,2700.0
224,M4M,1.0,2020-10-24,1699.0
225,M4M,1.0,2020-10-26,2275.0
226,M4M,1.0,2020-10-27,2425.0
227,M4M,1.0,2020-10-28,1667.0
228,M4N,1.0,2020-09-24,1300.0
229,M4N,2.0,2020-09-27,2800.0
230,M4N,2.0,2020-09-28,4195.0
231,M4N,1.0,2020-10-15,2795.0
232,M4N,2.0,2020-10-16,1835.0
233,M4N,1.0,2020-10-17,2000.0
234,M4N,2.0,2020-10-19,4300.0
235,M4N,1.0,2020-10-24,2700.0
236,M4N,1.0,2020-10-26,2200.0
237,M4N,2.0,2020-10-26,2900.0
238,M4P,1.0,2020-09-22,1850.0
239,M4P,1.0,2020-10-05,2995.0
240,M4P,1.0,2020-10-15,1800.0
241,M4P,2.0,2020-10-15,2525.0
242,M4P,2.0,2020-10-16,1.0
243,M4P,1.0,2020-10-18,1925.0
244,M4P,1.0,2020-10-19,1900.0
245,M4P,2.0,2020-10-19,2487.5
246,M4P,1.0,2020-10-20,1700.0
247,M4P,2.0,2020-10-20,2295.0
248,M4P,1.0,2020-10-21,2495.0
249,M4P,2.0,2020-10-22,2150.0
250,M4P,1.0,2020-10-23,1600.0
251,M4P,2.0,2020-10-23,3050.0
252,M4P,2.0,2020-10-25,2395.0
253,M4P,2.0,2020-10-26,2025.0
254,M4P,1.0,2020-10-28,1875.0
255,M4P,2.0,2020-10-28,2350.0
256,M4R,2.0,2020-10-17,2800.0
257,M4S,1.0,2020-09-27,1050.0
258,M4S,2.0,2020-10-05,3200.0
259,M4S,1.0,2020-10-08,2095.0
260,M4S,2.0,2020-10-08,3800.0
261,M4S,1.0,2020-10-09,1250.0
262,M4S,1.0,2020-10-13,1999.0
263,M4S,1.0,2020-10-15,2341.6666666666665
264,M4S,1.0,2020-10-16,1999.0
265,M4S,1.0,2020-10-17,1750.0
266,M4S,1.0,2020-10-18,1600.0
267,M4S,1.0,2020-10-19,2997.0
268,M4S,1.0,2020-10-20,2047.5
269,M4S,2.0,2020-10-20,2795.0
270,M4S,1.0,2020-10-21,1500.0
271,M4S,1.0,2020-10-22,2050.0
272,M4S,1.0,2020-10-23,1745.0
273,M4S,1.0,2020-10-24,1725.0
274,M4S,2.0,2020-10-24,2525.0
275,M4S,2.0,2020-10-26,2350.0
276,M4T,1.0,2020-09-20,1600.0
277,M4T,2.0,2020-09-30,2995.0
278,M4T,2.0,2020-10-05,3695.0
279,M4T,1.0,2020-10-11,1400.0
280,M4T,1.0,2020-10-12,1400.0
281,M4T,1.0,2020-10-13,1500.0
282,M4T,1.0,2020-10-14,1500.0
283,M4T,2.0,2020-10-14,2350.0
284,M4T,1.0,2020-10-17,1500.0
285,M4T,1.0,2020-10-23,1400.0
286,M4V,1.0,2020-09-20,2032.3333333333333
287,M4V,1.0,2020-09-27,2000.0
288,M4V,1.0,2020-10-05,2950.0
289,M4V,2.0,2020-10-11,2487.5
290,M4V,1.0,2020-10-14,2100.0
291,M4V,1.0,2020-10-15,1950.0
292,M4V,2.0,2020-10-19,1950.0
293,M4V,2.0,2020-10-20,3200.0
294,M4V,1.0,2020-10-21,1500.0
295,M4V,1.0,2020-10-22,1475.0
296,M4V,2.0,2020-10-22,2480.0
297,M4V,1.0,2020-10-24,1900.0
298,M4V,2.0,2020-10-24,2608.3333333333335
299,M4V,1.0,2020-10-26,1700.0
300,M4V,2.0,2020-10-27,1966.6666666666667
301,M4V,2.0,2020-10-28,1800.0
302,M4W,1.0,2020-09-20,2450.0
303,M4W,2.0,2020-09-28,3250.0
304,M4W,1.0,2020-10-06,2100.0
305,M4W,1.0,2020-10-07,2695.0
306,M4W,1.0,2020-10-13,2697.5
307,M4W,2.0,2020-10-16,1830.0
308,M4W,2.0,2020-10-18,2200.0
309,M4W,1.0,2020-10-19,2995.0
310,M4W,2.0,2020-10-19,3047.5
311,M4W,1.0,2020-10-20,2200.0
312,M4W,1.0,2020-10-21,2261.25
313,M4W,1.0,2020-10-22,1797.5
