Column1.id,Column1.bedrooms,Column1.price
c_7224739100,2,1800
c_7224887790,1,1800
c_7224894433,1,1800
c_7224961374,1,1800
c_7224988390,1,1800
c_7224993103,1,1800
c_7225127723,2,1800
k_1517380470,1,1800
k_1517769319,1,1800
k_1517769745,1,1800
k_1517774510,1,1800
k_1517778957,1,1800
k_1517784659,1,1800
k_1517793118,2,1800
k_1517824714,2,1800
k_1517841709,1,1800
k_1517852046,1,1800
k_1517878101,1,1800
k_1517889646,1,1800
k_1505792365,1,1809
k_1512376509,1,1809
c_7197118827,1,1820
c_7201326108,2,1820
c_7204934887,1,1820
c_7221997875,1,1820
c_7201957216,1,1824
c_7172917912,1,1825
c_7187586604,1,1825
c_7192473398,1,1825
c_7192624419,1,1825
c_7192840969,1,1825
c_7196721552,1,1825
c_7197975672,1,1825
c_7199299494,1,1825
c_7201700335,1,1825
c_7204777307,2,1825
c_7206386104,1,1825
c_7206454312,1,1825
c_7207055503,1,1825
c_7207403983,1,1825
c_7209196142,2,1825
c_7209204455,1,1825
c_7211685730,1,1825
c_7217525805,1,1825
c_7222739688,1,1825
c_7222878061,1,1825
k_1517874683,1,1825
k_1505746767,1,1829
c_7190494897,2,1830
c_7201677658,1,1830
c_7208912259,2,1830
c_7214980445,2,1830
c_7213680457,2,1834
c_7221518685,1,1834
c_7215007165,2,1835
k_1505791059,1,1839
k_1516443384,1,1839
c_7224796693,1,1840
c_7193622900,1,1845
c_7193956843,3,1845
c_7194974130,1,1845
c_7198113974,1,1845
c_7200707093,3,1845
c_7201648120,2,1845
c_7203909368,1,1845
c_7216650135,1,1845
c_7217805407,1,1845
c_7218068605,2,1845
c_7224838810,2,1845
c_7207205920,1,1849
c_7219241472,1,1849
c_7221414687,2,1849
c_7221987878,2,1849
k_1505750783,1,1849
k_1508851030,1,1849
k_1515122615,1,1849
k_1517780054,1,1849
c_7172918750,1,1850
c_7172919537,1,1850
c_7175258548,1,1850
c_7177706482,1,1850
c_7177707464,1,1850
c_7177707833,1,1850
