,FSA,bedrooms,post_published_date,average_price
197,M2J,1.0,2020-09-21,1700.0
198,M2J,2.0,2020-09-21,1895.0
199,M2J,1.0,2020-09-22,1950.0
200,M2J,2.0,2020-09-23,2343.3333333333335
201,M2J,1.0,2020-09-27,1995.0
202,M2J,2.0,2020-09-27,2250.0
203,M2J,2.0,2020-09-29,1975.0
204,M2J,2.0,2020-09-30,2400.0
205,M2J,2.0,2020-10-01,2245.0
206,M2J,1.0,2020-10-03,1775.0
207,M2J,1.0,2020-10-05,1750.0
208,M2J,2.0,2020-10-05,2300.0
209,M2J,1.0,2020-10-06,950.0
210,M2J,1.0,2020-10-07,1880.0
211,M2J,1.0,2020-10-08,1725.0
212,M2J,2.0,2020-10-08,1763.3333333333333
213,M2J,2.0,2020-10-11,950.0
214,M2J,2.0,2020-10-12,2150.0
215,M2J,2.0,2020-10-13,2045.0
216,M2J,2.0,2020-10-14,2300.0
217,M2J,1.0,2020-10-16,1950.0
218,M2J,1.0,2020-10-19,2150.0
219,M2J,2.0,2020-10-20,2300.0
220,M2J,1.0,2020-10-21,2700.0
221,M2J,2.0,2020-10-21,2250.0
222,M2J,2.0,2020-10-22,2325.0
223,M2J,1.0,2020-10-23,1950.0
224,M2J,2.0,2020-10-24,2800.0
225,M2J,2.0,2020-10-25,2000.0
226,M2J,2.0,2020-10-27,2150.0
227,M2J,1.0,2020-10-31,1750.0
228,M2J,1.0,2020-11-01,1700.0
229,M2J,1.0,2020-11-03,1700.0
230,M2K,1.0,2020-09-20,1585.0
231,M2K,2.0,2020-09-21,1100.0
232,M2K,1.0,2020-09-22,2016.3333333333333
233,M2K,1.0,2020-09-23,949.0
234,M2K,2.0,2020-09-23,2700.0
235,M2K,2.0,2020-09-26,2850.0
236,M2K,1.0,2020-09-27,2000.0
237,M2K,1.0,2020-09-30,2300.0
238,M2K,2.0,2020-10-01,1680.0
239,M2K,2.0,2020-10-02,2500.0
240,M2K,1.0,2020-10-06,2000.0
241,M2K,1.0,2020-10-09,2200.0
242,M2K,2.0,2020-10-13,2300.0
243,M2K,1.0,2020-10-17,2200.0
244,M2K,1.0,2020-10-20,1800.0
245,M2K,2.0,2020-10-20,1750.0
246,M2K,2.0,2020-10-22,2260.0
247,M2K,1.0,2020-10-24,2250.0
248,M2K,1.0,2020-10-28,2200.0
249,M2K,2.0,2020-10-28,2450.0
250,M2K,2.0,2020-10-29,3900.0
251,M2K,1.0,2020-10-30,2250.0
252,M2K,2.0,2020-10-30,1680.0
253,M2K,1.0,2020-11-03,1365.0
254,M2L,2.0,2020-10-27,2155.0
255,M2M,1.0,2020-09-20,1895.0
256,M2M,1.0,2020-09-21,1088.0
257,M2M,1.0,2020-09-25,1695.0
258,M2M,2.0,2020-09-25,2525.0
259,M2M,2.0,2020-09-29,2890.0
260,M2M,2.0,2020-10-02,1700.0
261,M2M,2.0,2020-10-03,2500.0
262,M2M,2.0,2020-10-05,2150.0
263,M2M,1.0,2020-10-11,1550.0
264,M2M,2.0,2020-10-15,1500.0
265,M2M,2.0,2020-10-16,1500.0
266,M2M,2.0,2020-10-17,1500.0
267,M2M,2.0,2020-10-18,1500.0
268,M2M,1.0,2020-10-20,1800.0
269,M2M,2.0,2020-10-20,1500.0
270,M2M,2.0,2020-10-21,2500.0
271,M2M,2.0,2020-10-22,2200.0
272,M2M,1.0,2020-10-23,1360.0
273,M2M,2.0,2020-10-26,2200.0
274,M2M,2.0,2020-10-27,2200.0
275,M2M,1.0,2020-11-02,1687.5
276,M2M,2.0,2020-11-02,2400.0
277,M2N,1.0,2020-09-19,1799.0
278,M2N,1.0,2020-09-20,930.0
279,M2N,2.0,2020-09-20,2545.0
280,M2N,1.0,2020-09-21,1796.6666666666667
281,M2N,2.0,2020-09-21,3490.0
282,M2N,1.0,2020-09-22,1882.5
283,M2N,2.0,2020-09-22,2700.0
284,M2N,1.0,2020-09-23,1893.3333333333333
285,M2N,2.0,2020-09-23,2750.0
286,M2N,1.0,2020-09-24,1790.0
287,M2N,2.0,2020-09-24,2450.0
288,M2N,1.0,2020-09-25,1756.0
289,M2N,1.0,2020-09-26,2040.0
290,M2N,2.0,2020-09-26,2190.0
291,M2N,1.0,2020-09-27,1843.0
292,M2N,2.0,2020-09-27,2225.0
293,M2N,1.0,2020-09-28,1851.6666666666667
294,M2N,2.0,2020-09-28,2455.0
295,M2N,1.0,2020-09-29,1790.0
296,M2N,1.0,2020-09-30,1882.5
297,M2N,1.0,2020-10-01,1820.0
298,M2N,2.0,2020-10-01,2275.0
299,M2N,1.0,2020-10-02,1330.0
300,M2N,1.0,2020-10-03,1560.0
301,M2N,2.0,2020-10-03,2400.0
302,M2N,1.0,2020-10-04,1837.5
303,M2N,1.0,2020-10-05,1752.5
304,M2N,2.0,2020-10-05,2337.5
305,M2N,1.0,2020-10-06,1749.0
306,M2N,2.0,2020-10-06,2562.5
307,M2N,1.0,2020-10-07,1780.0
308,M2N,1.0,2020-10-08,1780.0
309,M2N,2.0,2020-10-08,2480.0
310,M2N,1.0,2020-10-09,1740.0
311,M2N,1.0,2020-10-10,1780.0
312,M2N,1.0,2020-10-11,1780.0
313,M2N,1.0,2020-10-12,1690.0
314,M2N,1.0,2020-10-14,1750.0
