Column1.id,Column1.sqft,Column1.price
c_7219557028,651,2050
c_7221317576,710,2050
c_7222151154,620,2050
c_7222595032,700,2050
c_7222600530,600,2050
c_7222638623,1100,2050
c_7222735708,1200,2050
c_7223702478,1100,2050
c_7223745926,550,2050
c_7224596952,450,2050
c_7225158318,750,2050
k_1505793068,655,2050
k_1517413040,524,2050
k_1517790302,520,2050
k_1517815433,550,2050
k_1517816679,600,2050
k_1517830714,600,2050
k_1517839518,600,2050
k_1517886605,600,2050
k_1505788097,594,2052
k_1517885785,710,2054
k_1508850891,800,2059
c_7197406071,800,2060
c_7205191665,521,2061
k_1509725196,922,2062
k_1517781588,775,2071
k_1505788210,922,2072
c_7194057884,624,2075
c_7194303559,599,2075
c_7220198266,630,2075
c_7220300074,665,2075
c_7225121215,905,2075
k_1517852382,700,2075
k_1505787869,627,2079
c_7188417414,600,2080
c_7200402422,600,2080
c_7201023527,550,2080
c_7205931710,600,2080
c_7208006107,550,2080
c_7209151214,600,2080
c_7211132329,600,2080
c_7212172530,620,2080
c_7213941845,600,2080
c_7213973735,600,2080
c_7216860420,525,2080
c_7198607888,750,2085
c_7208044582,650,2090
c_7208293745,625,2090
k_1517212296,560,2090
c_7184588612,475,2095
c_7184767788,820,2095
c_7187880502,665,2095
c_7188536896,600,2095
c_7192364926,525,2095
c_7193065064,950,2095
c_7193083696,650,2095
c_7194501652,500,2095
c_7198058277,550,2095
c_7198247185,525,2095
c_7202199092,500,2095
c_7208640122,665,2095
c_7210298973,600,2095
c_7210406635,600,2095
c_7211156683,600,2095
c_7213308812,500,2095
c_7213982908,750,2095
c_7220671475,500,2095
c_7224836355,950,2095
c_7225005256,573,2095
k_1517890337,720,2097
c_7197076741,650,2099
c_7197077968,650,2099
c_7198935380,621,2099
c_7206617547,700,2099
c_7218998105,700,2099
c_7224019447,700,2099
c_7224246291,700,2099
c_7224599074,700,2099
c_7225061684,700,2099
k_1505788060,654,2099
k_1505788387,995,2099
c_7176069113,750,2100
c_7176533033,600,2100
c_7181338623,600,2100
c_7184425772,650,2100
c_7185562264,600,2100
c_7186880449,700,2100
c_7188467351,600,2100
c_7188482311,690,2100
c_7190653348,650,2100
c_7191319669,550,2100
c_7191322772,660,2100
